iter	Passed	Remaining
0	133	13260
1	134	6591
2	135	4365
3	135	3252
4	136	2584
5	136	2138
6	136	1819
7	137	1579
8	137	1393
9	138	1244
10	138	1122
11	139	1020
12	139	934
13	140	860
14	140	796
15	141	740
16	141	691
17	142	647
18	142	607
19	142	571
20	143	539
21	143	509
22	144	483
23	144	458
24	145	435
25	145	414
26	146	394
27	146	376
28	147	359
29	147	344
30	147	329
31	148	315
32	148	302
33	149	289
34	149	278
35	150	267
36	150	256
37	151	246
38	151	237
39	151	227
40	152	219
41	152	211
42	153	203
43	153	195
44	154	188
45	154	181
46	155	174
47	155	168
48	155	162
49	156	156
50	156	150
51	157	145
52	157	139
53	158	134
54	158	129
55	159	125
56	159	120
57	160	115
58	160	111
59	161	107
60	161	103
61	161	99
62	162	95
63	162	91
64	163	87
65	163	84
66	164	80
67	164	77
68	165	74
69	165	70
70	166	67
71	166	64
72	166	61
73	167	58
74	167	55
75	168	53
76	168	50
77	169	47
78	169	45
79	170	42
80	170	40
81	171	37
82	171	35
83	171	32
84	172	30
85	172	28
86	173	25
87	173	23
88	174	21
89	174	19
90	175	17
91	175	15
92	176	13
93	176	11
94	176	9
95	177	7
96	177	5
97	178	3
98	178	1
99	179	0
